URL,Label,Entity
http://vocab.getty.edu/ulan/500115513##quaPerson,"Dou, Gerrit",person
http://vocab.getty.edu/ulan/500025314##quaPerson,"Sarto, Andrea del",person
http://vocab.getty.edu/ulan/500004346##quaPerson,"Verkolje, Nicolaas",person
http://vocab.getty.edu/ulan/500030334##quaPerson,"Reni, Guido",person
http://vocab.getty.edu/ulan/500010689##quaPerson,"Hayter, Stanley William",person
http://vocab.getty.edu/ulan/500018994##quaPerson,"Parsons, Francis",person
http://vocab.getty.edu/ulan/500015831##quaPerson,"Blakey, Nicholas",person
http://vocab.getty.edu/ulan/500032557##quaPerson,"Kelly, Richard Barrett Talbot",person
http://vocab.getty.edu/ulan/500254152##quaPerson,"Fountaine, Andrew",person
http://vocab.getty.edu/ulan/500024595##quaPerson,"Huysmans, Jacob",person
http://vocab.getty.edu/ulan/500115207##quaPerson,"Muybridge, Eadweard",person
http://vocab.getty.edu/ulan/500000267##quaPerson,"Mignard, Pierre, I",person
http://vocab.getty.edu/ulan/500005330##quaPerson,"Somer, Paulus van, II",person
http://vocab.getty.edu/ulan/500114965##quaPerson,"Piranesi, Giovanni Battista",person
http://vocab.getty.edu/ulan/500025834##quaPerson,"Schwabe, Randolph",person
http://vocab.getty.edu/ulan/500116197##quaPerson,"Kentridge, William",person
http://vocab.getty.edu/ulan/500027407##quaPerson,"Varley, John, I",person
http://vocab.getty.edu/ulan/500032183##quaPerson,"Cruikshank, Robert",person
http://vocab.getty.edu/ulan/500007425##quaPerson,"Murillo, Bartolomé Estebán",person
http://vocab.getty.edu/ulan/500003628##quaPerson,"Raven-Hill, Leonard",person
http://vocab.getty.edu/ulan/500003150##quaPerson,"Pittoni, Giovanni Battista, the younger",person
http://vocab.getty.edu/ulan/500104623##quaPerson,"Duval, Peter S.",person
http://vocab.getty.edu/ulan/500008603##quaPerson,"Cochin, Charles-Nicolas, the elder",person
http://vocab.getty.edu/ulan/500019814##quaPerson,"Peeters, Bonaventura, I",person
http://vocab.getty.edu/ulan/500019608##quaPerson,"Carwitham, John",person
http://vocab.getty.edu/ulan/500001633##quaPerson,"Hunt, William Holman",person
http://vocab.getty.edu/ulan/500043428##quaPerson,"Schiavonetti, Luigi",person
http://vocab.getty.edu/ulan/500341470##quaPerson,Cleopatra,person
http://vocab.getty.edu/ulan/500093913##quaPerson,"Dobie, James",person
http://vocab.getty.edu/ulan/500002707##quaPerson,"Thomas, Jan",person
http://vocab.getty.edu/ulan/500032953##quaPerson,"Sutherland, Thomas",person
http://vocab.getty.edu/ulan/500017394##quaPerson,"Steenwijck, Hendrick van, the younger",person
http://vocab.getty.edu/ulan/500100869##quaPerson,"Boulonois, Edme de",person
http://vocab.getty.edu/ulan/500057409##quaPerson,"Quinn, Marc",person
http://vocab.getty.edu/ulan/500006953##quaPerson,"Bell, Edward",person
http://vocab.getty.edu/ulan/500041156##quaPerson,"Hullmandel, Charles Joseph",person
http://vocab.getty.edu/ulan/500024425##quaPerson,"Diepenbeeck, Abraham Jansz. van",person
http://vocab.getty.edu/ulan/500024037##quaPerson,"Lairesse, Gérard de",person
http://vocab.getty.edu/ulan/500013588##quaPerson,"Janssen van Ceulen, Cornelius",person
http://vocab.getty.edu/ulan/500005654##quaPerson,"Bufford, John Henry",person
http://vocab.getty.edu/ulan/500007470##quaPerson,"Renaldi, Francesco",person
http://vocab.getty.edu/ulan/500027909##quaPerson,"Mor, Antonis",person
http://vocab.getty.edu/ulan/500016473##quaPerson,"Amigoni, Jacopo",person
http://vocab.getty.edu/ulan/500291813##quaPerson,"Graves, Robert",person
http://vocab.getty.edu/ulan/500010402##quaPerson,"Badmin, Stanley Roy",person
http://vocab.getty.edu/ulan/500313522##quaPerson,"Ariosto, Ludovico",person
http://vocab.getty.edu/ulan/500022746##quaPerson,"Grant, Duncan",person
http://vocab.getty.edu/ulan/500008769##quaPerson,"Marchi, Giuseppe Filippo Liberati",person
http://vocab.getty.edu/ulan/500029940##quaPerson,"Ansdell, Richard",person
http://vocab.getty.edu/ulan/500000714##quaPerson,"Boydell, Josiah",person
http://vocab.getty.edu/ulan/500021942##quaPerson,"Lievensz., Jan",person
http://vocab.getty.edu/ulan/500015057##quaPerson,"Serres, Dominic, the Elder",person
http://vocab.getty.edu/ulan/500061273##quaPerson,"Nadin, Peter",person
http://vocab.getty.edu/ulan/500244380##quaPerson,"Wesley, John",person
http://vocab.getty.edu/ulan/500078157##quaPerson,"Thomas, Percy",person
http://vocab.getty.edu/ulan/500004481##quaPerson,"Okey, Samuel",person
http://vocab.getty.edu/ulan/500005958##quaPerson,"Cruikshank, Isaac",person
http://vocab.getty.edu/ulan/500032145##quaPerson,"Luny, Thomas",person
http://vocab.getty.edu/ulan/500021591##quaPerson,"Fortescue-Brickdale, Eleanor",person
http://vocab.getty.edu/ulan/500018222##quaPerson,"Vasi, Giuseppe",person
http://vocab.getty.edu/ulan/500019023##quaPerson,"Schellenburg, Johann Rudolf",person
http://vocab.getty.edu/ulan/500115370##quaPerson,"Clouet, Jean",person
http://vocab.getty.edu/ulan/500008053##quaPerson,"Devéria, Achille",person
http://vocab.getty.edu/ulan/500009824##quaPerson,"Mengs, Anton Raphael",person
http://vocab.getty.edu/ulan/500238568##quaPerson,"William III, King of England",person
http://vocab.getty.edu/ulan/500115304##quaPerson,"Romano, Giulio",person
http://vocab.getty.edu/ulan/500006463##quaPerson,"Moran, John",person
http://vocab.getty.edu/ulan/500023363##quaPerson,"Nanteuil, Robert",person
http://vocab.getty.edu/ulan/500128793##quaPerson,"Norfolk, Simon",person
http://vocab.getty.edu/ulan/500029468##quaPerson,"Barralet, John James",person
http://vocab.getty.edu/ulan/500026093##quaPerson,"Brangwyn, Frank",person
http://vocab.getty.edu/ulan/500013657##quaPerson,"Doré, Gustave",person
http://vocab.getty.edu/ulan/500000227##quaPerson,"Burridge, Frederick Vango",person
http://vocab.getty.edu/ulan/500344727##quaPerson,"Kenna, Michael",person
http://vocab.getty.edu/ulan/500116018##quaPerson,"Gallaccio, Anya",person
http://vocab.getty.edu/ulan/500030150##quaPerson,"Ewbank, John Wilson",person
http://vocab.getty.edu/ulan/500384415##quaPerson,"Derges, Susan",person
http://vocab.getty.edu/ulan/500016881##quaPerson,"Velázquez, Diego",person
http://vocab.getty.edu/ulan/500029273##quaPerson,"Schut, Cornelis, I",person
http://vocab.getty.edu/ulan/500122357##quaPerson,"Louis XVI, King of France",person
http://vocab.getty.edu/ulan/500012914##quaPerson,"Mason, Frank Henry",person
http://vocab.getty.edu/ulan/500019636##quaPerson,"Jones, Allen",person
http://vocab.getty.edu/ulan/500025303##quaPerson,"Furini, Francesco",person
http://vocab.getty.edu/ulan/500002592##quaPerson,"Leech, John",person
http://vocab.getty.edu/ulan/500041249##quaPerson,"Bailliu, Pieter de, the elder",person
http://vocab.getty.edu/ulan/500003166##quaPerson,"Cunego, Domenico",person
